time	V(v1)	V(v2)	V(vout)
2.303534912549620e-003	-4.725601e-001	4.725601e-001	1.513368e+000
2.332134242906762e-003	-4.359271e-001	4.359271e-001	1.396970e+000
2.360733573263905e-003	-3.837835e-001	3.837835e-001	1.230940e+000
2.372591832192476e-003	-3.584519e-001	3.584519e-001	1.150172e+000
2.384450091121047e-003	-3.315309e-001	3.315309e-001	1.064298e+000
2.396308350049618e-003	-3.030204e-001	3.030204e-001	9.733157e-001
2.408166608978189e-003	-2.729204e-001	2.729204e-001	8.772268e-001
2.420024867906761e-003	-2.412310e-001	2.412310e-001	7.760310e-001
2.431883126835331e-003	-2.079522e-001	2.079522e-001	6.697282e-001
2.443741385763903e-003	-1.730839e-001	1.730839e-001	5.583184e-001
2.450716832192474e-003	-1.522626e-001	1.522626e-001	4.917764e-001
2.457692278621045e-003	-1.312509e-001	1.312509e-001	4.246159e-001
2.464667725049617e-003	-1.100486e-001	1.100486e-001	3.568369e-001
2.471643171478188e-003	-8.865594e-002	8.865594e-002	2.884394e-001
2.478618617906759e-003	-6.707279e-002	6.707279e-002	2.194233e-001
2.485594064335330e-003	-4.529917e-002	4.529917e-002	1.497887e-001
2.492569510763902e-003	-2.333509e-002	2.333509e-002	7.953565e-002
2.496057233978187e-003	-1.237215e-002	1.237215e-002	4.446659e-002
2.499544957192473e-003	-1.416413e-003	1.416413e-003	9.418227e-003
2.503032680406759e-003	9.532125e-003	-9.532125e-003	-2.560945e-002
2.506520403621044e-003	2.047346e-002	-2.047346e-002	-6.061643e-002
2.510008126835330e-003	3.140760e-002	-3.140760e-002	-9.560272e-002
2.513495850049616e-003	4.233453e-002	-4.233453e-002	-1.305683e-001
2.516983573263901e-003	5.325427e-002	-5.325427e-002	-1.655132e-001
2.525354108978187e-003	7.949081e-002	-7.949081e-002	-2.494843e-001
2.533724644692472e-003	1.053321e-001	-1.053321e-001	-3.322039e-001
2.542095180406758e-003	1.307781e-001	-1.307781e-001	-4.136718e-001
2.550465716121043e-003	1.558289e-001	-1.558289e-001	-4.938882e-001
2.558836251835329e-003	1.804845e-001	-1.804845e-001	-5.728530e-001
2.567206787549614e-003	2.047448e-001	-2.047448e-001	-6.505663e-001
2.575577323263900e-003	2.286098e-001	-2.286098e-001	-7.270279e-001
2.589528216121042e-003	2.672774e-001	-2.672774e-001	-8.509520e-001
2.603479108978185e-003	3.032628e-001	-3.032628e-001	-9.663216e-001
2.617430001835328e-003	3.365659e-001	-3.365659e-001	-1.073137e+000
2.631380894692470e-003	3.671869e-001	-3.671869e-001	-1.171397e+000
2.645331787549613e-003	3.951256e-001	-3.951256e-001	-1.261103e+000
2.659282680406756e-003	4.203822e-001	-4.203822e-001	-1.342254e+000
2.673233573263898e-003	4.429565e-001	-4.429565e-001	-1.414850e+000
2.699740269692469e-003	4.751334e-001	-4.751334e-001	-1.518595e+000
2.726246966121039e-003	4.939527e-001	-4.939527e-001	-1.579593e+000
2.752753662549610e-003	4.994146e-001	-4.994146e-001	-1.597845e+000
2.779260358978181e-003	4.915191e-001	-4.915191e-001	-1.573349e+000
2.805767055406752e-003	4.702660e-001	-4.702660e-001	-1.506107e+000
2.832273751835323e-003	4.356555e-001	-4.356555e-001	-1.396119e+000
2.858780448263894e-003	3.876875e-001	-3.876875e-001	-1.243383e+000
2.870638707192465e-003	3.627012e-001	-3.627012e-001	-1.163724e+000
2.882496966121036e-003	3.360980e-001	-3.360980e-001	-1.078869e+000
2.894355225049607e-003	3.078779e-001	-3.078779e-001	-9.888192e-001
2.906213483978179e-003	2.780407e-001	-2.780407e-001	-8.935747e-001
2.918071742906750e-003	2.465865e-001	-2.465865e-001	-7.931352e-001
2.929930001835321e-003	2.135154e-001	-2.135154e-001	-6.875008e-001
2.941788260763892e-003	1.788273e-001	-1.788273e-001	-5.766715e-001
2.948763707192464e-003	1.580954e-001	-1.580954e-001	-5.104180e-001
2.955739153621035e-003	1.371615e-001	-1.371615e-001	-4.435092e-001
2.962714600049606e-003	1.160256e-001	-1.160256e-001	-3.759450e-001
2.969690046478177e-003	9.468778e-002	-9.468778e-002	-3.077256e-001
2.976665492906749e-003	7.314797e-002	-7.314797e-002	-2.388508e-001
2.983640939335320e-003	5.140618e-002	-5.140618e-002	-1.693206e-001
2.990616385763891e-003	2.946242e-002	-2.946242e-002	-9.913516e-002
3.000382010763891e-003	-1.200121e-003	1.200121e-003	-1.047367e-003
3.005264823263891e-003	-1.657282e-002	1.657282e-002	4.813599e-002
3.010147635763891e-003	-3.189401e-002	3.189401e-002	9.715916e-002
3.015030448263891e-003	-4.716369e-002	4.716369e-002	1.460221e-001
3.019913260763891e-003	-6.238188e-002	6.238188e-002	1.947249e-001
3.024796073263890e-003	-7.754856e-002	7.754856e-002	2.432674e-001
3.029678885763890e-003	-9.266374e-002	9.266374e-002	2.916498e-001
3.034561698263890e-003	-1.077274e-001	1.077274e-001	3.398720e-001
3.045024867906747e-003	-1.398941e-001	1.398941e-001	4.428612e-001
3.055488037549604e-003	-1.711308e-001	1.711308e-001	5.428944e-001
3.065951207192461e-003	-2.014376e-001	2.014376e-001	6.399716e-001
3.076414376835318e-003	-2.308146e-001	2.308146e-001	7.340927e-001
3.086877546478175e-003	-2.592616e-001	2.592616e-001	8.252578e-001
3.097340716121032e-003	-2.867786e-001	2.867786e-001	9.134668e-001
3.107803885763889e-003	-3.133658e-001	3.133658e-001	9.987198e-001
3.124544957192460e-003	-3.533223e-001	3.533223e-001	1.126904e+000
3.141286028621031e-003	-3.885540e-001	3.885540e-001	1.239999e+000
3.158027100049602e-003	-4.190609e-001	4.190609e-001	1.338006e+000
3.174768171478173e-003	-4.448429e-001	4.448429e-001	1.420923e+000
3.191509242906744e-003	-4.659001e-001	4.659001e-001	1.488751e+000
3.208250314335315e-003	-4.822324e-001	4.822324e-001	1.541490e+000
3.224991385763886e-003	-4.938399e-001	4.938399e-001	1.579139e+000
3.245917725049600e-003	-4.991597e-001	4.991597e-001	1.596824e+000
3.266844064335314e-003	-4.963946e-001	4.963946e-001	1.588619e+000
3.287770403621027e-003	-4.855445e-001	4.855445e-001	1.554523e+000
3.308696742906742e-003	-4.666095e-001	4.666095e-001	1.494538e+000
3.329623082192455e-003	-4.395896e-001	4.395896e-001	1.408662e+000
3.350549421478169e-003	-4.044847e-001	4.044847e-001	1.296896e+000
3.371475760763883e-003	-3.612950e-001	3.612950e-001	1.159240e+000
3.382636475049597e-003	-3.358332e-001	3.358332e-001	1.078024e+000
3.393797189335311e-003	-3.090685e-001	3.090685e-001	9.926188e-001
3.404957903621025e-003	-2.810008e-001	2.810008e-001	9.030252e-001
3.416118617906739e-003	-2.516302e-001	2.516302e-001	8.092431e-001
3.427279332192453e-003	-2.209567e-001	2.209567e-001	7.112724e-001
3.438440046478167e-003	-1.889803e-001	1.889803e-001	6.091131e-001
3.449600760763881e-003	-1.557009e-001	1.557009e-001	5.027653e-001
3.455878662549595e-003	-1.367675e-001	1.367675e-001	4.422498e-001
3.462156564335310e-003	-1.176962e-001	1.176962e-001	3.812855e-001
3.468434466121024e-003	-9.848687e-002	9.848687e-002	3.198724e-001
3.474712367906738e-003	-7.913961e-002	7.913961e-002	2.580104e-001
